county,state,age_under_5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,age_pct_under_5,age_pct_5_9,age_pct_10_14,age_pct_15_19,age_pct_20_24,age_pct_25_29,age_pct_30_34,age_pct_35_39,age_pct_40_44,age_pct_45_49,age_pct_50_54,age_pct_55_59,age_pct_60_64,age_pct_65_69,age_pct_70_74,age_pct_75_79,age_pct_80_84,age_pct_85_over
Baldwin,Alabama,10616,12826,14373,14410,11292,11807,12594,16368,12109,13261,14024,16425,15441,14045,14873,9953,4472,4345,4.8,5.7,6.4,6.5,5.1,5.3,5.6,7.3,5.4,5.9,6.3,7.4,6.9,6.3,6.7,4.5,2,1.9
Calhoun,Alabama,6699,5534,7774,7541,6973,7088,7893,7983,6411,6924,6430,7389,8410,6214,5884,4005,2590,1863,5.9,4.9,6.8,6.6,6.1,6.2,6.9,7,5.6,6.1,5.7,6.5,7.4,5.5,5.2,3.5,2.3,1.6
Cullman,Alabama,5310,4563,5906,4591,4603,5402,5186,4374,5907,6116,5235,5052,6100,3619,5510,2807,1915,1572,6.3,5.4,7.1,5.5,5.5,6.4,6.2,5.2,7.1,7.3,6.2,6,7.3,4.3,6.6,3.4,2.3,1.9
DeKalb,Alabama,4578,4292,5519,5128,4989,4281,4155,4294,4723,4337,4434,5006,3839,3889,3196,3065,868,920,6.4,6,7.7,7.2,7,6,5.8,6,6.6,6.1,6.2,7,5.4,5.4,4.5,4.3,1.2,1.3
Elmore,Alabama,4272,6638,3812,4896,4038,6165,6956,5346,4738,5750,4823,4689,6325,3524,4221,2330,1532,1154,5.3,8.2,4.7,6,5,7.6,8.6,6.6,5.8,7.1,5.9,5.8,7.8,4.3,5.2,2.9,1.9,1.4
Etowah,Alabama,5649,5923,7428,5108,6416,6376,5910,5422,6512,6854,6729,6472,7475,6404,4954,3497,2904,2235,5.5,5.8,7.3,5,6.3,6.2,5.8,5.3,6.4,6.7,6.6,6.3,7.3,6.3,4.8,3.4,2.8,2.2
Houston,Alabama,6637,5847,7545,6623,5776,7228,6640,5985,7229,6698,6382,7868,6403,5485,5645,3502,2339,2050,6.3,5.5,7.1,6.3,5.5,6.8,6.3,5.7,6.8,6.3,6,7.4,6,5.2,5.3,3.3,2.2,1.9
Jefferson,Alabama,42248,39554,43536,40545,40872,49439,46038,42775,41417,39800,38426,41062,44565,36728,28257,16772,14253,12286,6.4,6,6.6,6.2,6.2,7.5,7,6.5,6.3,6,5.8,6.2,6.8,5.6,4.3,2.5,2.2,1.9
Lauderdale,Alabama,3962,3711,6862,6361,7566,5507,5326,6541,4056,5082,5927,5949,6655,6842,4421,3300,2977,1684,4.3,4,7.4,6.9,8.2,5.9,5.7,7.1,4.4,5.5,6.4,6.4,7.2,7.4,4.8,3.6,3.2,1.8
Lee,Alabama,8512,12662,7503,14040,20499,11776,10743,12375,10026,8670,9146,9312,8533,6088,6712,4389,1862,1694,5.2,7.7,4.6,8.5,12.5,7.2,6.5,7.5,6.1,5.3,5.6,5.7,5.2,3.7,4.1,2.7,1.1,1
Limestone,Alabama,5936,5541,6356,7525,5116,6182,6104,5899,7201,7051,7109,6084,6531,4963,4781,2602,2640,1294,6,5.6,6.4,7.6,5.2,6.2,6.2,6,7.3,7.1,7.2,6.2,6.6,5,4.8,2.6,2.7,1.3
Madison,Alabama,21860,20324,25665,23238,24686,26486,26194,27730,18326,23122,25082,26324,25982,17442,16252,9852,7475,6869,5.9,5.5,6.9,6.2,6.6,7.1,7,7.4,4.9,6.2,6.7,7.1,7,4.7,4.4,2.6,2,1.8
Marshall,Alabama,6841,6324,6463,6706,5684,5977,6122,5151,6256,5863,6145,6023,6482,5241,4552,3148,2140,1656,7.1,6.5,6.7,6.9,5.9,6.2,6.3,5.3,6.5,6.1,6.3,6.2,6.7,5.4,4.7,3.3,2.2,1.7
Mobile,Alabama,27444,25029,27817,26380,26087,30082,28433,21968,27322,24074,24986,27375,28204,22754,17722,11516,8828,7189,6.6,6.1,6.7,6.4,6.3,7.3,6.9,5.3,6.6,5.8,6,6.6,6.8,5.5,4.3,2.8,2.1,1.7
Montgomery,Alabama,14404,14529,15487,15235,15521,16769,16135,12868,15785,13678,12646,13399,14424,12747,8473,7577,3611,3198,6.4,6.4,6.8,6.7,6.9,7.4,7.1,5.7,7,6,5.6,5.9,6.4,5.6,3.7,3.3,1.6,1.4
Morgan,Alabama,7355,6830,6869,8737,7426,6335,5424,7385,7951,8829,8463,7839,8560,6935,5116,4343,2848,2434,6.1,5.7,5.7,7.3,6.2,5.3,4.5,6.2,6.6,7.4,7.1,6.6,7.2,5.8,4.3,3.6,2.4,2
St. Clair,Alabama,5005,5633,5663,5727,4623,5865,6571,5641,5663,5506,6196,7380,5620,5789,3066,2261,2264,1039,5.6,6.3,6.3,6.4,5.2,6.6,7.3,6.3,6.3,6.2,6.9,8.2,6.3,6.5,3.4,2.5,2.5,1.2
Shelby,Alabama,11688,13264,16206,14247,13076,12392,14895,14883,15036,14911,14243,15524,12099,11423,10614,5293,5172,2736,5.4,6.1,7.4,6.5,6,5.7,6.8,6.8,6.9,6.8,6.5,7.1,5.6,5.2,4.9,2.4,2.4,1.3
Talladega,Alabama,4576,3639,5604,5725,4913,4814,4685,4405,5231,5547,4931,5232,6065,5253,3443,1864,3069,982,5.7,4.6,7,7.2,6.1,6,5.9,5.5,6.5,6.9,6.2,6.5,7.6,6.6,4.3,2.3,3.8,1.2
Tuscaloosa,Alabama,12280,11986,11878,22258,19364,16860,13377,12368,12773,12675,11062,11714,11907,10087,7752,5841,2732,2441,5.9,5.7,5.7,10.6,9.2,8.1,6.4,5.9,6.1,6.1,5.3,5.6,5.7,4.8,3.7,2.8,1.3,1.2
Walker,Alabama,3574,3530,4211,3901,3728,3909,3150,3910,3266,3919,4850,4445,5116,3448,3595,1858,1499,1612,5.6,5.6,6.6,6.1,5.9,6.2,5,6.2,5.1,6.2,7.6,7,8.1,5.4,5.7,2.9,2.4,2.5
