id,county,state,age,total,percent
0500000US01003,Baldwin County, Alabama,under 5 ,10616,4.8
0500000US01003,Baldwin County, Alabama,5 to 9 ,12826,5.7
0500000US01003,Baldwin County, Alabama,10 to 14 ,14373,6.4
0500000US01003,Baldwin County, Alabama,15 to 19 ,14410,6.5
0500000US01003,Baldwin County, Alabama,20 to 24 ,11292,5.1
0500000US01003,Baldwin County, Alabama,25 to 29 ,11807,5.3
0500000US01003,Baldwin County, Alabama,30 to 34 ,12594,5.6
0500000US01003,Baldwin County, Alabama,35 to 39 ,16368,7.3
0500000US01003,Baldwin County, Alabama,40 to 44 ,12109,5.4
0500000US01003,Baldwin County, Alabama,45 to 49 ,13261,5.9
0500000US01003,Baldwin County, Alabama,50 to 54 ,14024,6.3
0500000US01003,Baldwin County, Alabama,55 to 59 ,16425,7.4
0500000US01003,Baldwin County, Alabama,60 to 64 ,15441,6.9
0500000US01003,Baldwin County, Alabama,65 to 69 ,14045,6.3
0500000US01003,Baldwin County, Alabama,70 to 74 ,14873,6.7
0500000US01003,Baldwin County, Alabama,75 to 79 ,9953,4.5
0500000US01003,Baldwin County, Alabama,80 to 84 ,4472,2
0500000US01003,Baldwin County, Alabama,85  and over,4345,1.9
0500000US01015,Calhoun County, Alabama,under 5 ,6699,5.9
0500000US01015,Calhoun County, Alabama,5 to 9 ,5534,4.9
0500000US01015,Calhoun County, Alabama,10 to 14 ,7774,6.8
0500000US01015,Calhoun County, Alabama,15 to 19 ,7541,6.6
0500000US01015,Calhoun County, Alabama,20 to 24 ,6973,6.1
0500000US01015,Calhoun County, Alabama,25 to 29 ,7088,6.2
0500000US01015,Calhoun County, Alabama,30 to 34 ,7893,6.9
0500000US01015,Calhoun County, Alabama,35 to 39 ,7983,7
0500000US01015,Calhoun County, Alabama,40 to 44 ,6411,5.6
0500000US01015,Calhoun County, Alabama,45 to 49 ,6924,6.1
0500000US01015,Calhoun County, Alabama,50 to 54 ,6430,5.7
0500000US01015,Calhoun County, Alabama,55 to 59 ,7389,6.5
0500000US01015,Calhoun County, Alabama,60 to 64 ,8410,7.4
0500000US01015,Calhoun County, Alabama,65 to 69 ,6214,5.5
0500000US01015,Calhoun County, Alabama,70 to 74 ,5884,5.2
0500000US01015,Calhoun County, Alabama,75 to 79 ,4005,3.5
0500000US01015,Calhoun County, Alabama,80 to 84 ,2590,2.3
0500000US01015,Calhoun County, Alabama,85  and over,1863,1.6
0500000US01043,Cullman County, Alabama,under 5 ,5310,6.3
0500000US01043,Cullman County, Alabama,5 to 9 ,4563,5.4
0500000US01043,Cullman County, Alabama,10 to 14 ,5906,7.1
0500000US01043,Cullman County, Alabama,15 to 19 ,4591,5.5
0500000US01043,Cullman County, Alabama,20 to 24 ,4603,5.5
0500000US01043,Cullman County, Alabama,25 to 29 ,5402,6.4
0500000US01043,Cullman County, Alabama,30 to 34 ,5186,6.2
0500000US01043,Cullman County, Alabama,35 to 39 ,4374,5.2
0500000US01043,Cullman County, Alabama,40 to 44 ,5907,7.1
0500000US01043,Cullman County, Alabama,45 to 49 ,6116,7.3
0500000US01043,Cullman County, Alabama,50 to 54 ,5235,6.2
0500000US01043,Cullman County, Alabama,55 to 59 ,5052,6
0500000US01043,Cullman County, Alabama,60 to 64 ,6100,7.3
0500000US01043,Cullman County, Alabama,65 to 69 ,3619,4.3
0500000US01043,Cullman County, Alabama,70 to 74 ,5510,6.6
0500000US01043,Cullman County, Alabama,75 to 79 ,2807,3.4
0500000US01043,Cullman County, Alabama,80 to 84 ,1915,2.3
0500000US01043,Cullman County, Alabama,85  and over,1572,1.9
0500000US01049,DeKalb County, Alabama,under 5 ,4578,6.4
0500000US01049,DeKalb County, Alabama,5 to 9 ,4292,6
0500000US01049,DeKalb County, Alabama,10 to 14 ,5519,7.7
0500000US01049,DeKalb County, Alabama,15 to 19 ,5128,7.2
0500000US01049,DeKalb County, Alabama,20 to 24 ,4989,7
0500000US01049,DeKalb County, Alabama,25 to 29 ,4281,6
0500000US01049,DeKalb County, Alabama,30 to 34 ,4155,5.8
0500000US01049,DeKalb County, Alabama,35 to 39 ,4294,6
0500000US01049,DeKalb County, Alabama,40 to 44 ,4723,6.6
0500000US01049,DeKalb County, Alabama,45 to 49 ,4337,6.1
0500000US01049,DeKalb County, Alabama,50 to 54 ,4434,6.2
0500000US01049,DeKalb County, Alabama,55 to 59 ,5006,7
0500000US01049,DeKalb County, Alabama,60 to 64 ,3839,5.4
