age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
44,Male,Unknown race,Trigg County Sheriff's Department,Pending investigation,2020,10,28,Trigg County,KY,Trigg,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Unknown race,Chattanooga Police Department,Pending investigation,2020,10,27,Chattanooga,TN,NA,Gunshot,No known charges,No,35.0657,-85.2488,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Herriman Police Department,Pending investigation,2020,10,27,Herriman,UT,NA,Gunshot,No known charges,No,40.4899,-112.0171,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Unknown race,Alexandria Police Department,Pending investigation,2020,10,26,Alexandria,VA,NA,Gunshot,No known charges,No,38.8185,-77.0861,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Black,Philadelphia Police Department,Pending investigation,2020,10,26,Philadelphia,PA,NA,Gunshot,No known charges,Yes,40.0077,-75.1339,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Male,Unknown race,Phoenix Police Department,Pending investigation,2020,10,25,Phoenix,AZ,NA,Gunshot,No known charges,No,33.5722,-112.0891,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Sylvester Police Department,Pending investigation,2020,10,24,Sylvester,GA,NA,Gunshot,No known charges,No,31.53,-83.8338,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Male,Unknown race,Lawrenceburg Police Department,Pending investigation,2020,10,24,Lawrenceburg,IN,Dearborn,Gunshot,No known charges,No,39.0986,-84.8713,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,unknown race,Weber County Sheriff's Office; Morgan County Sheriff's Office,Pending investigation,2020,10,23,Huntsville,UT,NA,Gunshot,No known charges,No,41.2602,-111.7741,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Unknown race,Chicago Police Department,Pending investigation,2020,10,23,Chicago,IL,NA,Gunshot,No known charges,No,41.8373,-87.6862,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Male,Unknown race,Marinette County Sheriff's Office,Pending investigation,2020,10,23,Goodman,WI,NA,Gunshot,No known charges,No,45.6231,-88.3518,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,Unknown race,Kansas Highway Patrol; Montgomery County Sheriff's Department,Pending investigation,2020,10,23,Coffeyville,KS,Montgomery,Gunshot,No known charges,No,37.0518,-95.618,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Male,Unknown race,Roane County Sheriff's Department,Pending investigation,2020,10,22,Roane County,WV,Roane,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Male,Unknown race,Anchorage Police Department,Pending investigation,2020,10,22,Eagle River,AK,NA,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Black,San Bernardino Police Department,Pending investigation,2020,10,22,San Bernardino,CA,NA,Gunshot,No known charges,No,34.1417,-117.2946,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,Hispanic,Casa Grande Police Department,Pending investigation,2020,10,22,Casa Grande,AZ,Pinal,Gunshot,No known charges,No,32.9068,-111.7624,Arizona,0500000US04021,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057,78763,16706,Middle
35,Male,Unknown race,Manatee County Sheriff's Office,Pending investigation,2020,10,21,Bradenton,FL,Manatee,Gunshot,No known charges,No,27.49,-82.5739,Florida,0500000US12081,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499,92213,27714,Middle
45,Male,Black,Moss Point Police Department,Pending investigation,2020,10,21,Moss Point,MS,Jackson,Gunshot,No known charges,No,30.424,-88.5289,Mississippi,0500000US28059,56323,3.7,4.6,10,13.5,15.1,16.9,14.1,13.3,4.5,4.1,52476,76123,23647,Very Low
NA,Male,Unknown race,Escambia County Sheriff's Office,Pending investigation,2020,10,20,Perdido Key,FL,Escambia,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Male,Unknown race,Hernando County Sheriff's Office,Pending investigation,2020,10,20,Spring Hill,FL,Hernando,Gunshot,No known charges,No,28.4797,-82.53,Florida,0500000US12053,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031,62821,11790,Very Low
48,Male,Black,Elmwood Place Police Department,Pending investigation,2020,10,20,Elmwood Place,OH,Hamilton,Gunshot,No known charges,No,39.1855,-84.489,Ohio,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,89581,29383,Middle
NA,Male,Unknown race,Phoenix Police Department,Pending investigation,2020,10,20,Phoenix,AZ,NA,Gunshot,No known charges,No,33.5722,-112.0891,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Waukegan Police Department,Pending investigation,2020,10,20,Waukegan,IL,NA,Gunshot,No known charges,No,42.3697,-87.8716,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Frederick County Sheriff's Department,Pending investigation,2020,10,19,Emmitsburg,MD,Frederick,Gunshot,No known charges,No,39.7051,-77.3216,Maryland,0500000US24021,93768,1.8,2.1,3.4,4.8,8.9,13.8,13,25,13.4,13.8,103516,122496,18980,Very High
46,Male,Unknown race,Suffolk County Police Department,Pending investigation,2020,10,19,Coram,NY,Suffolk,Gunshot,No known charges,No,40.8813,-73.0059,New York,0500000US36103,499744,2.9,1.9,4.5,4.7,7.5,13.1,12,21.1,13.3,18.9,106228,138724,32496,Very High
43,Male,Unknown race,South Milwaukee Police Department,Pending investigation,2020,10,19,South Milwaukee,WI,NA,Gunshot,No known charges,Yes,42.912,-87.8627,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Male,Unknown race,Tooele Police Department,Pending investigation,2020,10,18,Tooele,UT,NA,Gunshot,No known charges,No,40.5393,-112.3082,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,White,Fresno Police Department,Pending investigation,2020,10,18,Fresno,CA,NA,Gunshot,No known charges,No,36.7831,-119.7941,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Male,Unknown race,Sunrise Police Department,Pending investigation,2020,10,18,Sunrise,FL,NA,Gunshot,No known charges,Yes,26.1547,-80.2997,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
