id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US01003,Baldwin,Alabama,82325,4.9,3.9,9.4,10.4,16.5,14.1,13.3,16,4.9,6.6,56439,81449,25010,Low
0500000US01015,Calhoun,Alabama,44636,9.6,7.3,8.4,13.1,12.8,18.7,12.2,12.9,2.8,2.2,48156,61137,12981,Very Low
0500000US01043,Cullman,Alabama,32090,4.4,5.4,11,13.2,14.9,22,15.3,8.6,2.9,2.4,50906,61920,11014,Very Low
0500000US01049,DeKalb,Alabama,24880,7.2,8.4,15.6,7.6,16.9,18.9,10.7,11,3,0.7,44208,56777,12569,Very Low
0500000US01051,Elmore,Alabama,30712,2.9,1.9,13.2,10.8,10.3,21,11.4,16.3,6.4,5.8,61854,82576,20722,Middle
0500000US01055,Etowah,Alabama,40053,9.9,6.3,15.9,11.8,13.4,17.5,9.7,10.3,3,2.3,41447,59944,18497,Very Low
0500000US01069,Houston,Alabama,39761,9.2,6,11.2,11.2,12.4,18.9,10.2,11.6,5.2,4.3,50103,69495,19392,Very Low
0500000US01073,Jefferson,Alabama,264753,9.7,5,8.9,10.4,12.6,17,9.8,14.1,5.9,6.6,53944,79833,25889,Very Low
0500000US01077,Lauderdale,Alabama,38761,9.3,7,10.8,10.2,15.2,16.6,13.3,12.5,2.3,2.8,46632,62091,15459,Very Low
0500000US01081,Lee,Alabama,64448,11.2,6.3,11.7,6.3,12.2,17.9,9.8,13,5.7,5.8,53712,78000,24288,Very Low
0500000US01083,Limestone,Alabama,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695,83580,19885,Middle
