id,county,state,total_income,estimate_households,mean_income,median_income,disparity_value
0500000US01003,Baldwin County, Alabama,"0-10,000",4.9,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"10,000-14,999",3.9,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"15,000-24,999",9.4,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"25,000-34,999",10.4,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"35,000-49,999",16.5,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"50,000-74,999",14.1,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"75,000-99,999",13.3,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"100,000-149,999",16,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"150,000-199,999",4.9,56439,81449,25010
0500000US01003,Baldwin County, Alabama,"200,000+",6.6,56439,81449,25010
0500000US01015,Calhoun County, Alabama,"0-10,000",9.6,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"10,000-14,999",7.3,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"15,000-24,999",8.4,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"25,000-34,999",13.1,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"35,000-49,999",12.8,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"50,000-74,999",18.7,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"75,000-99,999",12.2,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"100,000-149,999",12.9,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"150,000-199,999",2.8,48156,61137,12981
0500000US01015,Calhoun County, Alabama,"200,000+",2.2,48156,61137,12981
0500000US01043,Cullman County, Alabama,"0-10,000",4.4,50906,61920,11014
0500000US01043,Cullman County, Alabama,"10,000-14,999",5.4,50906,61920,11014
0500000US01043,Cullman County, Alabama,"15,000-24,999",11,50906,61920,11014
0500000US01043,Cullman County, Alabama,"25,000-34,999",13.2,50906,61920,11014
0500000US01043,Cullman County, Alabama,"35,000-49,999",14.9,50906,61920,11014
0500000US01043,Cullman County, Alabama,"50,000-74,999",22,50906,61920,11014
0500000US01043,Cullman County, Alabama,"75,000-99,999",15.3,50906,61920,11014
0500000US01043,Cullman County, Alabama,"100,000-149,999",8.6,50906,61920,11014
0500000US01043,Cullman County, Alabama,"150,000-199,999",2.9,50906,61920,11014
0500000US01043,Cullman County, Alabama,"200,000+",2.4,50906,61920,11014
0500000US01049,DeKalb County, Alabama,"0-10,000",7.2,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"10,000-14,999",8.4,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"15,000-24,999",15.6,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"25,000-34,999",7.6,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"35,000-49,999",16.9,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"50,000-74,999",18.9,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"75,000-99,999",10.7,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"100,000-149,999",11,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"150,000-199,999",3,44208,56777,12569
0500000US01049,DeKalb County, Alabama,"200,000+",0.7,44208,56777,12569
0500000US01051,Elmore County, Alabama,"0-10,000",2.9,61854,82576,20722
0500000US01051,Elmore County, Alabama,"10,000-14,999",1.9,61854,82576,20722
0500000US01051,Elmore County, Alabama,"15,000-24,999",13.2,61854,82576,20722
0500000US01051,Elmore County, Alabama,"25,000-34,999",10.8,61854,82576,20722
0500000US01051,Elmore County, Alabama,"35,000-49,999",10.3,61854,82576,20722
0500000US01051,Elmore County, Alabama,"50,000-74,999",21,61854,82576,20722
0500000US01051,Elmore County, Alabama,"75,000-99,999",11.4,61854,82576,20722
0500000US01051,Elmore County, Alabama,"100,000-149,999",16.3,61854,82576,20722
0500000US01051,Elmore County, Alabama,"150,000-199,999",6.4,61854,82576,20722
0500000US01051,Elmore County, Alabama,"200,000+",5.8,61854,82576,20722
0500000US01055,Etowah County, Alabama,"0-10,000",9.9,41447,59944,18497
0500000US01055,Etowah County, Alabama,"10,000-14,999",6.3,41447,59944,18497
0500000US01055,Etowah County, Alabama,"15,000-24,999",15.9,41447,59944,18497
0500000US01055,Etowah County, Alabama,"25,000-34,999",11.8,41447,59944,18497
0500000US01055,Etowah County, Alabama,"35,000-49,999",13.4,41447,59944,18497
0500000US01055,Etowah County, Alabama,"50,000-74,999",17.5,41447,59944,18497
0500000US01055,Etowah County, Alabama,"75,000-99,999",9.7,41447,59944,18497
0500000US01055,Etowah County, Alabama,"100,000-149,999",10.3,41447,59944,18497
0500000US01055,Etowah County, Alabama,"150,000-199,999",3,41447,59944,18497
0500000US01055,Etowah County, Alabama,"200,000+",2.3,41447,59944,18497
0500000US01069,Houston County, Alabama,"0-10,000",9.2,50103,69495,19392
0500000US01069,Houston County, Alabama,"10,000-14,999",6,50103,69495,19392
0500000US01069,Houston County, Alabama,"15,000-24,999",11.2,50103,69495,19392
0500000US01069,Houston County, Alabama,"25,000-34,999",11.2,50103,69495,19392
0500000US01069,Houston County, Alabama,"35,000-49,999",12.4,50103,69495,19392
0500000US01069,Houston County, Alabama,"50,000-74,999",18.9,50103,69495,19392
0500000US01069,Houston County, Alabama,"75,000-99,999",10.2,50103,69495,19392
0500000US01069,Houston County, Alabama,"100,000-149,999",11.6,50103,69495,19392
0500000US01069,Houston County, Alabama,"150,000-199,999",5.2,50103,69495,19392
0500000US01069,Houston County, Alabama,"200,000+",4.3,50103,69495,19392
0500000US01073,Jefferson County, Alabama,"0-10,000",9.7,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"10,000-14,999",5,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"15,000-24,999",8.9,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"25,000-34,999",10.4,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"35,000-49,999",12.6,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"50,000-74,999",17,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"75,000-99,999",9.8,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"100,000-149,999",14.1,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"150,000-199,999",5.9,53944,79833,25889
0500000US01073,Jefferson County, Alabama,"200,000+",6.6,53944,79833,25889
0500000US01077,Lauderdale County, Alabama,"0-10,000",9.3,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"10,000-14,999",7,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"15,000-24,999",10.8,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"25,000-34,999",10.2,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"35,000-49,999",15.2,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"50,000-74,999",16.6,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"75,000-99,999",13.3,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"100,000-149,999",12.5,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"150,000-199,999",2.3,46632,62091,15459
0500000US01077,Lauderdale County, Alabama,"200,000+",2.8,46632,62091,15459
0500000US01081,Lee County, Alabama,"0-10,000",11.2,53712,78000,24288
0500000US01081,Lee County, Alabama,"10,000-14,999",6.3,53712,78000,24288
0500000US01081,Lee County, Alabama,"15,000-24,999",11.7,53712,78000,24288
0500000US01081,Lee County, Alabama,"25,000-34,999",6.3,53712,78000,24288
0500000US01081,Lee County, Alabama,"35,000-49,999",12.2,53712,78000,24288
0500000US01081,Lee County, Alabama,"50,000-74,999",17.9,53712,78000,24288
0500000US01081,Lee County, Alabama,"75,000-99,999",9.8,53712,78000,24288
0500000US01081,Lee County, Alabama,"100,000-149,999",13,53712,78000,24288
0500000US01081,Lee County, Alabama,"150,000-199,999",5.7,53712,78000,24288
0500000US01081,Lee County, Alabama,"200,000+",5.8,53712,78000,24288
0500000US01083,Limestone County, Alabama,"0-10,000",3.7,63695,83580,19885
0500000US01083,Limestone County, Alabama,"10,000-14,999",5.9,63695,83580,19885
0500000US01083,Limestone County, Alabama,"15,000-24,999",8.4,63695,83580,19885
0500000US01083,Limestone County, Alabama,"25,000-34,999",12.2,63695,83580,19885
0500000US01083,Limestone County, Alabama,"35,000-49,999",10.1,63695,83580,19885
0500000US01083,Limestone County, Alabama,"50,000-74,999",16.8,63695,83580,19885
0500000US01083,Limestone County, Alabama,"75,000-99,999",11.8,63695,83580,19885
0500000US01083,Limestone County, Alabama,"100,000-149,999",18.9,63695,83580,19885
0500000US01083,Limestone County, Alabama,"150,000-199,999",6.7,63695,83580,19885
0500000US01083,Limestone County, Alabama,"200,000+",5.5,63695,83580,19885
0500000US01089,Madison County, Alabama,"0-10,000",5.2,67930,88904,20974
0500000US01089,Madison County, Alabama,"10,000-14,999",4.4,67930,88904,20974
0500000US01089,Madison County, Alabama,"15,000-24,999",8.9,67930,88904,20974
0500000US01089,Madison County, Alabama,"25,000-34,999",8.8,67930,88904,20974
0500000US01089,Madison County, Alabama,"35,000-49,999",11.7,67930,88904,20974
0500000US01089,Madison County, Alabama,"50,000-74,999",14.5,67930,88904,20974
0500000US01089,Madison County, Alabama,"75,000-99,999",12.4,67930,88904,20974
0500000US01089,Madison County, Alabama,"100,000-149,999",17.5,67930,88904,20974
0500000US01089,Madison County, Alabama,"150,000-199,999",9.2,67930,88904,20974
0500000US01089,Madison County, Alabama,"200,000+",7.3,67930,88904,20974
0500000US01095,Marshall County, Alabama,"0-10,000",8,49467,63823,14356
0500000US01095,Marshall County, Alabama,"10,000-14,999",4.6,49467,63823,14356
0500000US01095,Marshall County, Alabama,"15,000-24,999",12.6,49467,63823,14356
0500000US01095,Marshall County, Alabama,"25,000-34,999",8.1,49467,63823,14356
0500000US01095,Marshall County, Alabama,"35,000-49,999",16.9,49467,63823,14356
0500000US01095,Marshall County, Alabama,"50,000-74,999",21.2,49467,63823,14356
0500000US01095,Marshall County, Alabama,"75,000-99,999",12,49467,63823,14356
0500000US01095,Marshall County, Alabama,"100,000-149,999",9.8,49467,63823,14356
0500000US01095,Marshall County, Alabama,"150,000-199,999",3.6,49467,63823,14356
0500000US01095,Marshall County, Alabama,"200,000+",3.2,49467,63823,14356
0500000US01097,Mobile County, Alabama,"0-10,000",9,49639,64556,14917
0500000US01097,Mobile County, Alabama,"10,000-14,999",5.8,49639,64556,14917
0500000US01097,Mobile County, Alabama,"15,000-24,999",11.2,49639,64556,14917
0500000US01097,Mobile County, Alabama,"25,000-34,999",10.2,49639,64556,14917
0500000US01097,Mobile County, Alabama,"35,000-49,999",14.2,49639,64556,14917
0500000US01097,Mobile County, Alabama,"50,000-74,999",20.3,49639,64556,14917
0500000US01097,Mobile County, Alabama,"75,000-99,999",10.5,49639,64556,14917
0500000US01097,Mobile County, Alabama,"100,000-149,999",11.3,49639,64556,14917
0500000US01097,Mobile County, Alabama,"150,000-199,999",4.3,49639,64556,14917
0500000US01097,Mobile County, Alabama,"200,000+",3.2,49639,64556,14917
0500000US01101,Montgomery County, Alabama,"0-10,000",8.1,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"10,000-14,999",3.6,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"15,000-24,999",9.2,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"25,000-34,999",10.1,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"35,000-49,999",15.7,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"50,000-74,999",20.2,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"75,000-99,999",11.1,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"100,000-149,999",13.3,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"150,000-199,999",4.5,53117,72113,18996
0500000US01101,Montgomery County, Alabama,"200,000+",4.3,53117,72113,18996
0500000US01103,Morgan County, Alabama,"0-10,000",6.8,54338,73817,19479
0500000US01103,Morgan County, Alabama,"10,000-14,999",5.3,54338,73817,19479
0500000US01103,Morgan County, Alabama,"15,000-24,999",9.4,54338,73817,19479
0500000US01103,Morgan County, Alabama,"25,000-34,999",11,54338,73817,19479
0500000US01103,Morgan County, Alabama,"35,000-49,999",12.8,54338,73817,19479
0500000US01103,Morgan County, Alabama,"50,000-74,999",19.6,54338,73817,19479
0500000US01103,Morgan County, Alabama,"75,000-99,999",12.1,54338,73817,19479
0500000US01103,Morgan County, Alabama,"100,000-149,999",13.9,54338,73817,19479
