age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat.x,lng.x,lat.y,lng.y,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class,total_pop,white,prop_white,black,prop_black,asian,prop_asian,am_in_alask,prop_am_in_alask,hawaii_pi,prop_hawaii_pi,other,prop_other
44,Male,Unknown race,Trigg County Sheriff's Department,Pending investigation,2020,10,28,Trigg County,KY,Trigg,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Unknown race,Chattanooga Police Department,Pending investigation,2020,10,27,Chattanooga,TN,NA,Gunshot,No known charges,No,35.0657,-85.2488,35.0657,-85.2488,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Herriman Police Department,Pending investigation,2020,10,27,Herriman,UT,NA,Gunshot,No known charges,No,40.4899,-112.0171,40.4899,-112.0171,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Unknown race,Alexandria Police Department,Pending investigation,2020,10,26,Alexandria,VA,NA,Gunshot,No known charges,No,38.8185,-77.0861,38.8185,-77.0861,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Black,Philadelphia Police Department,Pending investigation,2020,10,26,Philadelphia,PA,NA,Gunshot,No known charges,Yes,40.0077,-75.1339,40.0077,-75.1339,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Male,Unknown race,Phoenix Police Department,Pending investigation,2020,10,25,Phoenix,AZ,NA,Gunshot,No known charges,No,33.5722,-112.0891,33.5722,-112.0891,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Sylvester Police Department,Pending investigation,2020,10,24,Sylvester,GA,NA,Gunshot,No known charges,No,31.53,-83.8338,31.53,-83.8338,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Male,Unknown race,Lawrenceburg Police Department,Pending investigation,2020,10,24,Lawrenceburg,IN,Dearborn,Gunshot,No known charges,No,39.0986,-84.8713,39.0986,-84.8713,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,unknown race,Weber County Sheriff's Office; Morgan County Sheriff's Office,Pending investigation,2020,10,23,Huntsville,UT,NA,Gunshot,No known charges,No,41.2602,-111.7741,41.2602,-111.7741,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Unknown race,Chicago Police Department,Pending investigation,2020,10,23,Chicago,IL,NA,Gunshot,No known charges,No,41.8373,-87.6862,41.8373,-87.6862,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
