year,month,day,event_type,sub_event_type,state,county,city,latitude,longitude,fatalities,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
2020,5,24,Protests,Peaceful protest,Maryland,Baltimore City,Baltimore,39.29,-76.612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,24,Protests,Peaceful protest,Illinois,Williamson,Marion,37.731,-88.933,0,0500000US17199,27650,4.5,5.1,10.3,9,14.8,17.1,13.5,16.8,3.4,5.4,58097,75721,17624,Low
2020,5,24,Protests,Peaceful protest,Ohio,Mahoning,Youngstown,41.1,-80.65,0,0500000US39099,100057,8.3,6.6,11.5,12.2,13.8,16.6,12.8,11.9,3.1,3.2,47170,63363,16193,Very Low
2020,5,24,Protests,Peaceful protest,New Jersey,Middlesex,New Brunswick,40.486,-74.452,0,0500000US34023,285906,4.2,2.4,5.5,5.2,9,13.7,12.8,19.9,12.1,15.2,93418,117164,23746,Very High
2020,5,24,Protests,Peaceful protest,New York,Essex,Keene,44.256,-73.792,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,24,Protests,Peaceful protest,New York,Queens,New York-Queens,40.731,-73.796,0,0500000US36081,784552,5.6,3.7,6.6,7.9,10.5,16.3,12.9,17.8,9.5,9.3,73696,96631,22935,High
2020,5,24,Protests,Peaceful protest,New York,Essex,Keene Valley,44.19,-73.787,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,25,Violence against civilians,Attack,Minnesota,Hennepin,Minneapolis,44.983,-93.267,1,0500000US27053,517091,4.4,3.6,5.5,6.5,9.8,15.4,14.4,17.4,10,13.1,82369,112406,30037,Very High
2020,5,25,Protests,Protest with intervention,Illinois,Cook,Chicago,41.85,-87.65,0,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
2020,5,25,Protests,Peaceful protest,North Carolina,Mecklenburg,Charlotte,35.227,-80.843,0,0500000US37119,426313,4.5,3.4,6.5,8.2,12.9,18.5,13.1,15.2,6.9,10.9,69072,102553,33481,High
2020,5,25,Protests,Peaceful protest,Kentucky,Franklin,Frankfort,38.201,-84.874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,25,Protests,Peaceful protest,North Carolina,Onslow,Holly Ridge,34.495,-77.555,0,0500000US37133,63604,8.4,1.9,11.4,10.1,18.8,19.9,11.5,10.9,5.1,2,49544,67207,17663,Very Low
2020,5,25,Protests,Peaceful protest,Pennsylvania,Crawford,Meadville,41.641,-80.151,0,0500000US42039,35387,5,5.7,11.3,11.1,17.5,17,16.2,9.8,4.4,1.9,49428,63237,13809,Very Low
2020,5,25,Protests,Peaceful protest,New Jersey,Ocean,Point Pleasant Beach,40.091,-74.048,0,0500000US34029,226725,3.1,2.4,8,7.7,10.2,18,13.8,19.7,8.8,8.3,76093,97772,21679,Very High
2020,5,25,Protests,Peaceful protest,Massachusetts,Suffolk,Boston,42.359,-71.064,0,0500000US25025,309945,9.4,5.4,6.5,5.9,8,13.3,10.5,15.2,10.9,14.9,77558,116061,38503,Very High
2020,5,25,Protests,Peaceful protest,New Hampshire,Rockingham,Hampton,42.938,-70.839,0,0500000US33015,124212,3.2,1.4,5.6,4.5,9.8,16.1,13.5,19.5,12,14.5,91249,122403,31154,Very High
2020,5,25,Strategic developments,Other,Arizona,Maricopa,Phoenix,33.449,-112.074,1,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
2020,5,25,Protests,Peaceful protest,Illinois,Saint Clair,O'Fallon,38.559,-89.874,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,26,Riots,Violent demonstration,Minnesota,Hennepin,Minneapolis,44.983,-93.267,0,0500000US27053,517091,4.4,3.6,5.5,6.5,9.8,15.4,14.4,17.4,10,13.1,82369,112406,30037,Very High
2020,5,26,Strategic developments,Change to group/activity,Florida,Leon,Tallahassee,30.438,-84.28,0,0500000US12073,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,21040,Very Low
2020,5,26,Protests,Peaceful protest,Michigan,Washtenaw,Ann Arbor,42.28,-83.746,0,0500000US26161,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576,107685,31109,Very High
2020,5,26,Protests,Peaceful protest,Indiana,Lake,Hammond,41.583,-87.5,0,0500000US18089,190135,7.6,4.2,8.5,10.6,12.5,19.4,10.9,16.2,6,4.3,57081,77171,20090,Low
2020,5,26,Protests,Peaceful protest,Michigan,Washtenaw,Ypsilanti,42.243,-83.618,0,0500000US26161,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576,107685,31109,Very High
2020,5,26,Protests,Peaceful protest,California,Orange,Costa Mesa,33.641,-117.919,0,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High
2020,5,26,Protests,Peaceful protest,Texas,Harris,Houston,29.76,-95.364,0,0500000US48201,1647384,6.1,3.4,8.8,9.2,12.7,18.1,12,14.1,6.8,8.9,61618,92488,30870,Middle
2020,5,26,Riots,Violent demonstration,California,Los Angeles,Los Angeles,34.043,-118.25,0,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
2020,5,26,Protests,Peaceful protest,Pennsylvania,Philadelphia,Philadelphia,39.952,-75.164,0,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,72748,25274,Very Low
2020,5,26,Protests,Peaceful protest,Virginia,Richmond,Richmond,37.539,-77.434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,26,Protests,Protest with intervention,Indiana,Saint Joseph,South Bend,41.676,-86.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,26,Protests,Peaceful protest,Minnesota,Ramsey,Saint Paul,44.951,-93.095,0,0500000US27123,206124,5.4,3.5,6.9,7.6,13,17.7,12.9,18.2,7.6,7,68871,90789,21918,High
2020,5,26,Protests,Peaceful protest,Minnesota,Saint Louis,Virginia,47.521,-92.537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,26,Protests,Peaceful protest,California,Tulare,Visalia,36.33,-119.292,0,0500000US06107,144109,5.6,4.2,9.4,10.3,14,18.7,13.6,13.7,7.2,3.4,57692,74820,17128,Low
2020,5,26,Protests,Peaceful protest,Illinois,Cook,Chicago,41.85,-87.65,0,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
2020,5,26,Protests,Peaceful protest,Maryland,Howard,Ellicott City,39.268,-76.799,0,0500000US24027,115772,3.4,1,4.1,3.5,5.7,10.3,11.7,20.6,13.7,26,121618,155431,33813,Very High
2020,5,26,Protests,Peaceful protest,Michigan,Washtenaw,Pittsfield,42.21,-83.724,0,0500000US26161,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576,107685,31109,Very High
2020,5,27,Riots,Violent demonstration,Minnesota,Hennepin,Minneapolis,44.983,-93.267,1,0500000US27053,517091,4.4,3.6,5.5,6.5,9.8,15.4,14.4,17.4,10,13.1,82369,112406,30037,Very High
2020,5,27,Protests,Peaceful protest,Oregon,Multnomah,Portland,45.523,-122.676,0,0500000US41051,337903,5.9,3.5,6.5,6.5,11.4,17.3,12.4,18,8.5,10,72900,99033,26133,High
2020,5,27,Protests,Peaceful protest,Minnesota,Washington,Oakdale,44.963,-92.965,0,0500000US27163,97059,3.1,1.8,4.4,4.4,7.5,14.5,13.9,23.3,12.5,14.6,100596,131166,30570,Very High
2020,5,27,Protests,Peaceful protest,Michigan,Washtenaw,Ypsilanti,42.243,-83.618,0,0500000US26161,141680,5.7,3.9,5.6,7.3,9.2,17.4,13.2,16.7,8.6,12.4,76576,107685,31109,Very High
2020,5,27,Protests,Peaceful protest,North Carolina,Mecklenburg,Charlotte,35.227,-80.843,0,0500000US37119,426313,4.5,3.4,6.5,8.2,12.9,18.5,13.1,15.2,6.9,10.9,69072,102553,33481,High
2020,5,27,Protests,Peaceful protest,Florida,Collier,Marco Island,25.933,-81.711,0,0500000US12021,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025,121643,45618,Very High
2020,5,27,Protests,Peaceful protest,South Carolina,Aiken,Aiken,33.56,-81.72,0,0500000US45003,67889,6.5,6.2,11.8,7,14.4,18.4,13.9,12.8,5.3,3.6,55634,70238,14604,Low
2020,5,27,Protests,Peaceful protest,Minnesota,Saint Louis,Duluth,46.787,-92.098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,27,Protests,Peaceful protest,Maryland,Cecil,Elkton,39.607,-75.833,0,0500000US24015,38547,5.9,3.3,8.6,8.6,7.5,15.1,16.9,17.5,10.1,6.5,76441,92059,15618,Very High
2020,5,27,Riots,Violent demonstration,California,Los Angeles,Los Angeles,34.043,-118.25,0,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
2020,5,27,Protests,Protest with intervention,Tennessee,Shelby,Memphis,35.15,-90.049,0,0500000US47157,353950,8.1,6.1,9.8,10.3,13.2,17,11.2,12.7,4.5,7,52614,80016,27402,Very Low
2020,5,27,Protests,Peaceful protest,New York,New York,New York-Manhattan,40.783,-73.966,0,0500000US36061,768203,9.2,4.4,6.2,5.2,6.4,10.6,9.7,14,9.1,25.1,93651,170453,76802,Very High
2020,5,27,Protests,Peaceful protest,North Carolina,Wake,Raleigh,35.781,-78.639,0,0500000US37183,419361,3.6,2.1,6,7.2,10.3,15.6,13.1,19.1,11.2,11.8,84215,111123,26908,Very High
2020,5,27,Protests,Peaceful protest,California,San Diego,Santee,32.838,-116.972,0,0500000US06073,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,28801,Very High
2020,5,27,Protests,Peaceful protest,California,Sacramento,Sacramento,38.58,-121.496,0,0500000US06067,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,93318,21301,High
