id,county,state,male_under_5_years,male_5_to_9_years,male_10_to_14_years,male_15_to_19_years,male_20_to_24_years,male_25_to_29_years,male_30_to_34_years,male_35_to_39_years,male_40_to_44_years,male_45_to_49_years,male_50_to_54_years,male_55_to_59_years,male_60_to_64_years,male_65_to_69_years,male_70_to_74_years,male_75_to_79_years,male_80_to_84_years,male_85_years_and_over,male_percent_under_5_years,male_percent_5_to_9_years,male_percent_10_to_14_years,male_percent_15_to_19_years,male_percent_20_to_24_years,male_percent_25_to_29_years,male_percent_30_to_34_years,male_percent_35_to_39_years,male_percent_40_to_44_years,male_percent_45_to_49_years,male_percent_50_to_54_years,male_percent_55_to_59_years,male_percent_60_to_64_years,male_percent_65_to_69_years,male_percent_70_to_74_years,male_percent_75_to_79_years,male_percent_80_to_84_years,male_percent_85_years_and_over,female_under_5_years,female_5_to_9_years,female_10_to_14_years,female_15_to_19_years,female_20_to_24_years,female_25_to_29_years,female_30_to_34_years,female_35_to_39_years,female_40_to_44_years,female_45_to_49_years,female_50_to_54_years,female_55_to_59_years,female_60_to_64_years,female_65_to_69_years,female_70_to_74_years,female_75_to_79_years,female_80_to_84_years,female_85_years_and_over,female_percent_under_5_years,female_percent_5_to_9_years,female_percent_10_to_14_years,female_percent_15_to_19_years,female_percent_20_to_24_years,female_percent_25_to_29_years,female_percent_30_to_34_years,female_percent_35_to_39_years,female_percent_40_to_44_years,female_percent_45_to_49_years,female_percent_50_to_54_years,female_percent_55_to_59_years,female_percent_60_to_64_years,female_percent_65_to_69_years,female_percent_70_to_74_years,female_percent_75_to_79_years,female_percent_80_to_84_years,female_percent_85_years_and_over
0500000US01003,Baldwin,Alabama,5735,5849,8901,7670,5617,6008,5757,8245,5845,6458,6270,7620,7644,6084,7170,3677,2851,1791,5.3,5.4,8.2,7,5.1,5.5,5.3,7.6,5.4,5.9,5.7,7,7,5.6,6.6,3.4,2.6,1.6,4881,6977,5472,6740,5675,5799,6837,8123,6264,6803,7754,8805,7797,7961,7703,6276,1621,2554,4.3,6.1,4.8,5.9,5,5.1,6,7.1,5.5,6,6.8,7.7,6.8,7,6.8,5.5,1.4,2.2
0500000US01015,Calhoun,Alabama,3359,3007,3617,4369,2394,3659,4153,4400,2947,3160,3032,3164,4281,2683,2658,1541,960,901,6.2,5.5,6.7,8,4.4,6.7,7.7,8.1,5.4,5.8,5.6,5.8,7.9,4.9,4.9,2.8,1.8,1.7,3340,2527,4157,3172,4579,3429,3740,3583,3464,3764,3398,4225,4129,3531,3226,2464,1630,962,5.6,4.3,7,5.3,7.7,5.8,6.3,6,5.8,6.3,5.7,7.1,7,6,5.4,4.2,2.7,1.6
0500000US01043,Cullman,Alabama,2323,2534,2846,2402,2100,2859,2561,2489,2531,2889,2662,2279,3170,1673,2596,1411,593,661,5.7,6.2,7,5.9,5.2,7,6.3,6.1,6.2,7.1,6.6,5.6,7.8,4.1,6.4,3.5,1.5,1.6,2987,2029,3060,2189,2503,2543,2625,1885,3376,3227,2573,2773,2930,1946,2914,1396,1322,911,6.9,4.7,7.1,5.1,5.8,5.9,6.1,4.4,7.8,7.5,6,6.4,6.8,4.5,6.7,3.2,3.1,2.1
0500000US01049,DeKalb,Alabama,1942,2752,2976,2466,2727,2082,2483,2019,2095,2185,2203,2011,2388,2080,1281,1476,437,85,5.4,7.7,8.3,6.9,7.6,5.8,7,5.7,5.9,6.1,6.2,5.6,6.7,5.8,3.6,4.1,1.2,0.2,2636,1540,2543,2662,2262,2199,1672,2275,2628,2152,2231,2995,1451,1809,1915,1589,431,835,7.4,4.3,7.1,7.4,6.3,6.1,4.7,6.4,7.3,6,6.2,8.4,4.1,5,5.3,4.4,1.2,2.3
0500000US01051,Elmore,Alabama,2445,3459,2390,2511,1773,2654,4156,2869,1910,2739,2238,2189,3014,1403,2306,883,632,489,6.1,8.6,6,6.3,4.4,6.6,10.4,7.2,4.8,6.8,5.6,5.5,7.5,3.5,5.8,2.2,1.6,1.2,1827,3179,1422,2385,2265,3511,2800,2477,2828,3011,2585,2500,3311,2121,1915,1447,900,665,4.4,7.7,3.5,5.8,5.5,8.5,6.8,6,6.9,7.3,6.3,6.1,8,5.2,4.7,3.5,2.2,1.6
0500000US01055,Etowah,Alabama,3013,2911,3890,2673,2789,3366,2966,2751,3159,3465,3141,3185,3310,3040,2279,1593,1212,535,6.1,5.9,7.9,5.4,5.7,6.8,6,5.6,6.4,7,6.4,6.5,6.7,6.2,4.6,3.2,2.5,1.1,2636,3012,3538,2435,3627,3010,2944,2671,3353,3389,3588,3287,4165,3364,2675,1904,1692,1700,5,5.7,6.7,4.6,6.8,5.7,5.6,5,6.3,6.4,6.8,6.2,7.9,6.3,5,3.6,3.2,3.2
0500000US01069,Houston,Alabama,3416,2982,3965,3377,2948,3432,3134,2631,3662,3171,3034,3796,2968,2518,2522,1503,842,765,6.7,5.9,7.8,6.7,5.8,6.8,6.2,5.2,7.2,6.3,6,7.5,5.9,5,5,3,1.7,1.5,3221,2865,3580,3246,2828,3796,3506,3354,3567,3527,3348,4072,3435,2967,3123,1999,1497,1285,5.8,5.2,6.5,5.9,5.1,6.9,6.3,6.1,6.5,6.4,6.1,7.4,6.2,5.4,5.7,3.6,2.7,2.3
0500000US01073,Jefferson,Alabama,21353,19640,22851,20084,20171,23885,21565,21124,18805,18772,18286,18589,20569,17127,11942,6967,5301,3867,6.9,6.3,7.3,6.5,6.5,7.7,6.9,6.8,6,6,5.9,6,6.6,5.5,3.8,2.2,1.7,1.2,20895,19914,20685,20461,20701,25554,24473,21651,22612,21028,20140,22473,23996,19601,16315,9805,8952,8419,6,5.7,5.9,5.9,6,7.3,7,6.2,6.5,6,5.8,6.5,6.9,5.6,4.7,2.8,2.6,2.4
0500000US01077,Lauderdale,Alabama,1982,1999,3349,3345,3875,2887,2391,3467,1838,2539,2868,2494,3434,2943,2090,1815,1085,382,4.4,4.5,7.5,7.5,8.7,6.4,5.3,7.7,4.1,5.7,6.4,5.6,7.7,6.6,4.7,4.1,2.4,0.9,1980,1712,3513,3016,3691,2620,2935,3074,2218,2543,3059,3455,3221,3899,2331,1485,1892,1302,4.1,3.6,7.3,6.3,7.7,5.5,6.1,6.4,4.6,5.3,6.4,7.2,6.7,8.1,4.9,3.1,3.9,2.7
0500000US01081,Lee,Alabama,5377,7183,3690,6325,10718,5984,4963,7559,4032,4248,4595,4193,4223,3428,2667,1813,931,476,6.5,8.7,4.5,7.7,13,7.3,6,9.2,4.9,5.2,5.6,5.1,5.1,4.2,3.2,2.2,1.1,0.6,3135,5479,3813,7715,9781,5792,5780,4816,5994,4422,4551,5119,4310,2660,4045,2576,931,1218,3.8,6.7,4.6,9.4,11.9,7.1,7,5.9,7.3,5.4,5.5,6.2,5.2,3.2,4.9,3.1,1.1,1.5
