year,month,day,event_type,sub_event_type,state,county,city,latitude,longitude,fatalities
2020,5,24,Protests,Peaceful protest,Maryland,Baltimore City,Baltimore,39.29,-76.612,0
2020,5,24,Protests,Peaceful protest,Illinois,Williamson,Marion,37.731,-88.933,0
2020,5,24,Protests,Peaceful protest,Ohio,Mahoning,Youngstown,41.1,-80.65,0
2020,5,24,Protests,Peaceful protest,New Jersey,Middlesex,New Brunswick,40.486,-74.452,0
2020,5,24,Protests,Peaceful protest,New York,Essex,Keene,44.256,-73.792,0
2020,5,24,Protests,Peaceful protest,New York,Queens,New York-Queens,40.731,-73.796,0
2020,5,24,Protests,Peaceful protest,New York,Essex,Keene Valley,44.19,-73.787,0
2020,5,25,Violence against civilians,Attack,Minnesota,Hennepin,Minneapolis,44.983,-93.267,1
2020,5,25,Protests,Protest with intervention,Illinois,Cook,Chicago,41.85,-87.65,0
2020,5,25,Protests,Peaceful protest,North Carolina,Mecklenburg,Charlotte,35.227,-80.843,0
2020,5,25,Protests,Peaceful protest,Kentucky,Franklin,Frankfort,38.201,-84.874,0
2020,5,25,Protests,Peaceful protest,North Carolina,Onslow,Holly Ridge,34.495,-77.555,0
2020,5,25,Protests,Peaceful protest,Pennsylvania,Crawford,Meadville,41.641,-80.151,0
2020,5,25,Protests,Peaceful protest,New Jersey,Ocean,Point Pleasant Beach,40.091,-74.048,0
2020,5,25,Protests,Peaceful protest,Massachusetts,Suffolk,Boston,42.359,-71.064,0
2020,5,25,Protests,Peaceful protest,New Hampshire,Rockingham,Hampton,42.938,-70.839,0
2020,5,25,Strategic developments,Other,Arizona,Maricopa,Phoenix,33.449,-112.074,1
2020,5,25,Protests,Peaceful protest,Illinois,Saint Clair,O'Fallon,38.559,-89.874,0
2020,5,26,Riots,Violent demonstration,Minnesota,Hennepin,Minneapolis,44.983,-93.267,0
2020,5,26,Strategic developments,Change to group/activity,Florida,Leon,Tallahassee,30.438,-84.28,0
2020,5,26,Protests,Peaceful protest,Michigan,Washtenaw,Ann Arbor,42.28,-83.746,0
2020,5,26,Protests,Peaceful protest,Indiana,Lake,Hammond,41.583,-87.5,0
2020,5,26,Protests,Peaceful protest,Michigan,Washtenaw,Ypsilanti,42.243,-83.618,0
2020,5,26,Protests,Peaceful protest,California,Orange,Costa Mesa,33.641,-117.919,0
2020,5,26,Protests,Peaceful protest,Texas,Harris,Houston,29.76,-95.364,0
2020,5,26,Riots,Violent demonstration,California,Los Angeles,Los Angeles,34.043,-118.25,0
2020,5,26,Protests,Peaceful protest,Pennsylvania,Philadelphia,Philadelphia,39.952,-75.164,0
2020,5,26,Protests,Peaceful protest,Virginia,Richmond,Richmond,37.539,-77.434,0
2020,5,26,Protests,Protest with intervention,Indiana,Saint Joseph,South Bend,41.676,-86.25,0
2020,5,26,Protests,Peaceful protest,Minnesota,Ramsey,Saint Paul,44.951,-93.095,0
2020,5,26,Protests,Peaceful protest,Minnesota,Saint Louis,Virginia,47.521,-92.537,0
2020,5,26,Protests,Peaceful protest,California,Tulare,Visalia,36.33,-119.292,0
2020,5,26,Protests,Peaceful protest,Illinois,Cook,Chicago,41.85,-87.65,0
2020,5,26,Protests,Peaceful protest,Maryland,Howard,Ellicott City,39.268,-76.799,0
2020,5,26,Protests,Peaceful protest,Michigan,Washtenaw,Pittsfield,42.21,-83.724,0
2020,5,27,Riots,Violent demonstration,Minnesota,Hennepin,Minneapolis,44.983,-93.267,1
2020,5,27,Protests,Peaceful protest,Oregon,Multnomah,Portland,45.523,-122.676,0
2020,5,27,Protests,Peaceful protest,Minnesota,Washington,Oakdale,44.963,-92.965,0
2020,5,27,Protests,Peaceful protest,Michigan,Washtenaw,Ypsilanti,42.243,-83.618,0
2020,5,27,Protests,Peaceful protest,North Carolina,Mecklenburg,Charlotte,35.227,-80.843,0
2020,5,27,Protests,Peaceful protest,Florida,Collier,Marco Island,25.933,-81.711,0
2020,5,27,Protests,Peaceful protest,South Carolina,Aiken,Aiken,33.56,-81.72,0
2020,5,27,Protests,Peaceful protest,Minnesota,Saint Louis,Duluth,46.787,-92.098,0
2020,5,27,Protests,Peaceful protest,Maryland,Cecil,Elkton,39.607,-75.833,0
2020,5,27,Riots,Violent demonstration,California,Los Angeles,Los Angeles,34.043,-118.25,0
2020,5,27,Protests,Protest with intervention,Tennessee,Shelby,Memphis,35.15,-90.049,0
2020,5,27,Protests,Peaceful protest,New York,New York,New York-Manhattan,40.783,-73.966,0
2020,5,27,Protests,Peaceful protest,North Carolina,Wake,Raleigh,35.781,-78.639,0
2020,5,27,Protests,Peaceful protest,California,San Diego,Santee,32.838,-116.972,0
2020,5,27,Protests,Peaceful protest,California,Sacramento,Sacramento,38.58,-121.496,0
2020,5,27,Protests,Peaceful protest,Pennsylvania,Centre,State College,40.793,-77.86,0
2020,5,27,Protests,Peaceful protest,Washington,Chelan,Wenatchee,47.423,-120.31,0
2020,5,27,Protests,Peaceful protest,Missouri,Jackson,Kansas City,39.101,-94.579,0
2020,5,27,Protests,Peaceful protest,Oklahoma,Tulsa,Tulsa,36.154,-95.993,0
2020,5,27,Protests,Peaceful protest,New York,Westchester,Ossining,41.163,-73.861,0
2020,5,27,Protests,Peaceful protest,Colorado,Denver,Denver,39.739,-104.991,0
2020,5,27,Protests,Protest with intervention,Minnesota,Washington,Oakdale,44.971,-92.965,0
2020,5,27,Protests,Peaceful protest,Michigan,Washtenaw,Ann Arbor,42.28,-83.746,0
2020,5,27,Protests,Peaceful protest,Michigan,Washtenaw,Pittsfield,42.21,-83.724,0
2020,5,28,Riots,Violent demonstration,Minnesota,Hennepin,Minneapolis,44.983,-93.267,1
